,manufacturer,model_name,category,screen_size_inch,cpu,ram_gb,storage,gpu,os,os_version,weight,price_euros,cpu_manufacturer,gpu_manufacturer,screen_width_px,screen_height_px,cpu_speed_GHz
26,Apple,MacBook Air,Ultrabook,13.3,Intel Core i5 1.6GHz,8,128GB Flash Storage,Intel HD Graphics 6000,macOS,X,1.35kg,1099.0,Intel,Intel,1440,900,1.6
27,Dell,Inspiron 5570,Notebook,15.6,Intel Core i5 8250U 1.6GHz,8,256GB SSD,AMD Radeon 530,Windows,10,2.2kg,800.0,Intel,AMD,1920,1080,1.6
28,Dell,Latitude 5590,Ultrabook,15.6,Intel Core i7 8650U 1.9GHz,8,256GB SSD +  256GB SSD,Intel UHD Graphics 620,Windows,10,1.88kg,1298.0,Intel,Intel,1920,1080,1.9
29,HP,ProBook 470,Notebook,17.3,Intel Core i5 8250U 1.6GHz,8,1TB HDD,Nvidia GeForce 930MX,Windows,10,2.5kg,896.0,Intel,Nvidia,1920,1080,1.6
30,Chuwi,"LapBook 15.6""",Notebook,15.6,Intel Atom x5-Z8300 1.44GHz,4,64GB Flash Storage,Intel HD Graphics,Windows,10,1.89kg,244.99,Intel,Intel,1920,1080,1.44
31,Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14.0,AMD E-Series E2-6110 1.5GHz,2,32GB Flash Storage,AMD Radeon R2,Windows,10,1.65kg,199.0,AMD,AMD,1366,768,1.5
32,HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,AMD A6-Series 9220 2.5GHz,4,500GB HDD,AMD Radeon 530,Windows,10,2.71kg,439.0,AMD,AMD,1920,1080,2.5
33,Dell,XPS 13,Ultrabook,13.3,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Intel UHD Graphics 620,Windows,10,1.2kg,1869.0,Intel,Intel,3200,1800,1.8
34,Apple,MacBook Air,Ultrabook,13.3,Intel Core i5 1.6GHz,8,256GB Flash Storage,Intel HD Graphics 6000,macOS,X,1.35kg,998.0,Intel,Intel,1440,900,1.6
35,Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,Intel Celeron Dual Core N3350 1.1GHz,4,64GB Flash Storage,Intel HD Graphics 500,Windows,10,1.44kg,249.0,Intel,Intel,1366,768,1.1
36,Acer,Aspire 3,Notebook,15.6,Intel Core i3 7130U 2.7GHz,4,1TB HDD,Intel HD Graphics 620,Linux,,2.1kg,367.0,Intel,Intel,1366,768,2.7
37,Dell,Inspiron 5770,Notebook,17.3,Intel Core i5 8250U 1.6GHz,8,128GB SSD +  1TB HDD,AMD Radeon 530,Windows,10,2.8kg,979.0,Intel,AMD,1920,1080,1.6
38,HP,250 G6,Notebook,15.6,Intel Core i5 7200U 2.5GHz,4,1TB HDD,Intel HD Graphics 620,Windows,10,1.86kg,488.69,Intel,Intel,1366,768,2.5
39,HP,ProBook 450,Notebook,15.6,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Nvidia GeForce 930MX ,Windows,10,2.1kg,879.0,Intel,Nvidia,1920,1080,1.6
40,Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,Intel Core i3 6006U 2GHz,4,1TB HDD,Intel HD Graphics 620,Linux,,2kg,389.0,Intel,Intel,1920,1080,2.0
41,Dell,Inspiron 7577,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows,10,2.65kg,1499.0,Intel,Nvidia,1920,1080,2.8
42,Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8,1TB HDD,Nvidia GeForce 940MX,Linux,,2.3kg,522.99,Intel,Nvidia,1366,768,2.5
43,Acer,Aspire A515-51G,Notebook,15.6,Intel Core i5 8250U 1.6GHz,4,256GB SSD,Intel UHD Graphics 620,Windows,10,2.2kg,682.0,Intel,Intel,1920,1080,1.6
44,Dell,Inspiron 7773,2 in 1 Convertible,17.3,Intel Core i5 8250U 1.6GHz,12,1TB HDD,Nvidia GeForce 150MX,Windows,10,2.77kg,999.0,Intel,Nvidia,1920,1080,1.6
45,Apple,MacBook Pro,Ultrabook,13.3,Intel Core i5 2.0GHz,8,256GB SSD,Intel Iris Graphics 540,macOS,,1.37kg,1419.0,Intel,Intel,2560,1600,2.0
46,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,Intel Core i3 6006U 2GHz,4,128GB SSD,Intel HD Graphics 520,No OS,,2.2kg,369.0,Intel,Intel,1366,768,2.0
47,Asus,Rog Strix,Gaming,17.3,AMD Ryzen 1700 3GHz,8,256GB SSD +  1TB HDD,AMD Radeon RX 580,Windows,10,3.2kg,1299.0,AMD,AMD,1920,1080,3.0
48,Dell,Inspiron 3567,Notebook,15.6,Intel Core i5 7200U 2.5GHz,4,256GB SSD,AMD Radeon R5 M430,Windows,10,2.3kg,639.0,Intel,AMD,1920,1080,2.5
49,Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,17.3,Intel Pentium Quad Core N4200 1.1GHz,4,1TB HDD,Nvidia GeForce 920MX,Windows,10,2.8kg,466.0,Intel,Nvidia,1366,768,1.1
50,Lenovo,Yoga Book,2 in 1 Convertible,10.1,Intel Atom x5-Z8550 1.44GHz,4,64GB Flash Storage,Intel HD Graphics 400,Android,,0.69kg,319.0,Intel,Intel,1920,1200,1.44
51,Acer,Aspire A515-51G,Notebook,15.6,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Nvidia GeForce MX150,Windows,10,2.2kg,841.0,Intel,Nvidia,1920,1080,1.8
52,HP,255 G6,Notebook,15.6,AMD A6-Series 9220 2.5GHz,4,256GB SSD,AMD Radeon R4 Graphics,Windows,10,1.86kg,398.49,AMD,AMD,1920,1080,2.5
53,HP,ProBook 430,Notebook,13.3,Intel Core i7 8550U 1.8GHz,8,512GB SSD,Intel UHD Graphics 620,Windows,10,1.49kg,1103.0,Intel,Intel,1920,1080,1.8
54,Acer,Aspire 3,Notebook,15.6,Intel Core i3 7100U 2.4GHz,4,1TB HDD,Intel HD Graphics 620,Windows,10,2.4kg,384.0,Intel,Intel,1366,768,2.4
55,Dell,Inspiron 3576,Notebook,15.6,Intel Core i7 8550U 1.8GHz,8,256GB SSD,AMD Radeon 520,Windows,10,2.13kg,767.8,Intel,AMD,1920,1080,1.8
56,HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.6,Intel Core i3 6006U 2GHz,4,128GB SSD,Intel HD Graphics 520,Windows,10,1.91kg,439.0,Intel,Intel,1920,1080,2.0
57,Asus,VivoBook Max,Notebook,15.6,Intel Core i5 7200U 2.5GHz,4,256GB SSD,Intel HD Graphics 620,Windows,10,2kg,586.19,Intel,Intel,1366,768,2.5
58,MSI,GS73VR 7RG,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1070,Windows,10,2.43kg,2449.0,Intel,Nvidia,1920,1080,2.8
59,Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,Intel Core i3 6006U 2GHz,4,256GB SSD,Intel HD Graphics 520,Linux,,2kg,415.0,Intel,Intel,1920,1080,2.0
60,Dell,Inspiron 5770,Notebook,17.3,Intel Core i7 8550U 1.8GHz,16,256GB SSD +  2TB HDD,AMD Radeon 530,Windows,10,2.8kg,1299.0,Intel,AMD,1920,1080,1.8
61,Dell,Vostro 5471,Ultrabook,14.0,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows,10,1.7kg,879.0,Intel,Intel,1920,1080,1.6
62,Lenovo,IdeaPad 520S-14IKB,Notebook,14.0,Intel Core i3 7130U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,No OS,,1.7kg,599.0,Intel,Intel,1920,1080,2.7
63,Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,14.0,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows,10,1.4kg,941.0,Intel,Intel,1920,1080,1.6
64,HP,250 G6,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,1.86kg,690.0,Intel,Intel,1920,1080,2.5
65,Asus,ZenBook Pro,Ultrabook,15.6,Intel Core i7 7700HQ 2.8GHz,16,512GB SSD,Nvidia GeForce GTX 1050 Ti,Windows,10,1.8kg,1983.0,Intel,Nvidia,1920,1080,2.8
66,HP,250 G6,Notebook,15.6,Intel Core i3 6006U 2GHz,4,500GB HDD,AMD Radeon 520,Windows,10,1.86kg,438.69,Intel,AMD,1366,768,2.0
67,HP,Stream 14-AX040wm,Notebook,14.0,Intel Celeron Dual Core N3060 1.6GHz,4,32GB SSD,Intel HD Graphics 400,Windows,10,1.44kg,229.0,Intel,Intel,1366,768,1.6
68,Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,Intel Core i5 7200U 2.5GHz,4,1TB HDD,Intel HD Graphics 620,Windows,10,1.9kg,549.0,Intel,Intel,1920,1080,2.5
69,Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,12,1TB HDD,Nvidia GeForce GTX 1050 Ti,Linux,,3kg,949.0,Intel,Nvidia,1920,1080,2.8
70,Microsoft,Surface Laptop,Ultrabook,13.5,Intel Core i5 7200U 2.5GHz,4,128GB SSD,Intel HD Graphics 620,Windows,10 S,1.252kg,1089.0,Intel,Intel,2256,1504,2.5
71,Dell,Inspiron 5370,Ultrabook,13.3,Intel Core i7 8550U 1.8GHz,8,256GB SSD,AMD Radeon 530,Windows,10,1.4kg,955.0,Intel,AMD,1920,1080,1.8
72,Dell,Inspiron 5570,Notebook,15.6,Intel Core i7 8550U 1.8GHz,8,256GB SSD,AMD Radeon 530,Windows,10,2.2kg,870.0,Intel,AMD,1920,1080,1.8
73,MSI,GL72M 7RDX,Gaming,17.3,Intel Core i5 7300HQ 2.5GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.7kg,1095.0,Intel,Nvidia,1920,1080,2.5
74,Acer,Aspire E5-475,Notebook,14.0,Intel Core i3 6006U 2GHz,8,1TB HDD,Intel HD Graphics 520,Windows,10,2.1kg,389.0,Intel,Intel,1366,768,2.0
75,Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,8,1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.2kg,949.0,Intel,Nvidia,1920,1080,2.8
76,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8,2TB HDD,Intel HD Graphics 620,No OS,,2.2kg,519.0,Intel,Intel,1920,1080,2.5
77,Dell,Inspiron 5570,Notebook,15.6,Intel Core i7 8550U 1.8GHz,8,128GB SSD +  1TB HDD,Intel UHD Graphics 620,Windows,10,2.02kg,855.0,Intel,Intel,1920,1080,1.8
78,Acer,Aspire A515-51G-32MX,Notebook,15.6,Intel Core i3 7130U 2.7GHz,4,1TB HDD,Nvidia GeForce MX130,Windows,10,2.2kg,530.0,Intel,Nvidia,1920,1080,2.7
79,HP,ProBook 470,Notebook,17.3,Intel Core i5 8250U 1.6GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce 930MX,Windows,10,2.5kg,977.0,Intel,Nvidia,1920,1080,1.6
80,Dell,Latitude 5590,Ultrabook,15.6,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows,10,1.88kg,1096.16,Intel,Intel,1920,1080,1.6
81,Apple,"MacBook 12""",Ultrabook,12.0,Intel Core i5 1.3GHz,8,512GB SSD,Intel HD Graphics 615,macOS,,0.92kg,1510.0,Intel,Intel,2304,1440,1.3
82,HP,ProBook 440,Notebook,14.0,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,1.63kg,860.0,Intel,Intel,1920,1080,1.6
83,Lenovo,IdeaPad 320-15AST,Notebook,15.6,AMD A6-Series 9220 2.5GHz,4,128GB SSD,AMD R4 Graphics,Windows,10,2.2kg,399.0,AMD,AMD,1920,1080,2.5
84,Acer,Aspire 3,Notebook,15.6,AMD A9-Series 9420 3GHz,4,1TB HDD,AMD Radeon R5,Windows,10,2.1kg,395.0,AMD,AMD,1366,768,3.0
85,Dell,Inspiron 7577,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,16,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows,10,2.65kg,1349.0,Intel,Nvidia,1920,1080,2.8
86,HP,Pavilion 15-CK000nv,Ultrabook,15.6,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Nvidia GeForce GTX 940MX,Windows,10,1.83kg,699.0,Intel,Nvidia,1920,1080,1.8
87,HP,250 G6,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,1.96kg,598.99,Intel,Intel,1920,1080,2.5
88,Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,16,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows,10,2.2kg,1449.0,Intel,Nvidia,1920,1080,2.8
89,Dell,XPS 13,Ultrabook,13.3,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel UHD Graphics 620,Windows,10,1.21kg,1649.0,Intel,Intel,1920,1080,1.8
90,Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,15.6,AMD FX 9830P 3GHz,8,1TB HDD,AMD Radeon RX 560,Windows,10,2.45kg,699.0,AMD,AMD,1920,1080,3.0
91,Acer,Aspire 5,Notebook,15.6,Intel Core i7 8550U 1.8GHz,8,1TB HDD,Nvidia GeForce MX150,Windows,10,2.2kg,689.0,Intel,Nvidia,1920,1080,1.8
92,HP,Probook 430,Notebook,13.3,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Intel UHD Graphics 620,Windows,10,1.49kg,1197.0,Intel,Intel,1920,1080,1.8
93,Dell,Inspiron 7577,Gaming,15.6,Intel Core i5 7300HQ 2.5GHz,8,256GB SSD,Nvidia GeForce GTX 1060,Windows,10,2.65kg,1195.0,Intel,Nvidia,1920,1080,2.5
94,Asus,Zenbook UX430UA,Ultrabook,14.0,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,1.25kg,1049.0,Intel,Intel,1920,1080,2.7
95,Acer,Spin 5,2 in 1 Convertible,13.3,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows,10,1.5kg,847.0,Intel,Intel,1920,1080,1.6
96,Dell,Inspiron 3567,Notebook,15.6,Intel Core i7 7500U 2.7GHz,8,1TB HDD,AMD Radeon R5 M430,Linux,,2.2kg,599.9,Intel,AMD,1920,1080,2.7
97,Dell,Inspiron 3567,Notebook,15.6,Intel Core i3 6006U 2GHz,4,256GB SSD,AMD Radeon R5 M430,Linux,,2.2kg,485.0,Intel,AMD,1920,1080,2.0
98,Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,15.6,Intel Core i3 7100U 2.4GHz,6,256GB SSD,Nvidia GeForce 920M,Windows,10,2kg,577.0,Intel,Nvidia,1920,1080,2.4
99,HP,Omen 15-ce007nv,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,12,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.62kg,1249.0,Intel,Nvidia,1920,1080,2.8
100,HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,15.6,Intel Core i7 7500U 2.7GHz,8,256GB SSD,AMD Radeon 530,Windows,10,1.91kg,719.0,Intel,AMD,1920,1080,2.7
101,HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,15.6,AMD E-Series E2-9000e 1.5GHz,4,500GB HDD,AMD Radeon R2,Windows,10,2.1kg,349.0,AMD,AMD,1920,1080,1.5
102,Dell,Inspiron 3576,Notebook,15.6,Intel Core i5 8250U 1.6GHz,8,1TB HDD,AMD Radeon 520,Linux,,2.2kg,647.0,Intel,AMD,1920,1080,1.6
103,HP,Envy 13-ad009n,Ultrabook,13.3,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Nvidia GeForce MX150,Windows,10,1.38kg,1119.0,Intel,Nvidia,1920,1080,2.7
104,Microsoft,Surface Laptop,Ultrabook,13.5,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10 S,1.252kg,1340.0,Intel,Intel,2256,1504,2.5
105,HP,Pavilion 14-BK001nv,Notebook,14.0,Intel Core i5 7200U 2.5GHz,6,256GB SSD,Nvidia GeForce 940MX,Windows,10,1.58kg,659.0,Intel,Nvidia,1920,1080,2.5
106,Lenovo,Ideapad 310-15ISK,Notebook,15.6,Intel Core i3 6006U 2GHz,4,1TB HDD,Intel HD Graphics 520,Windows,10,1.85kg,414.9,Intel,Intel,1920,1080,2.0
107,Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,14.0,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Nvidia GeForce 940MX,Windows,10,1.3kg,1193.0,Intel,Nvidia,1920,1080,2.7
108,MSI,GP62M 7REX,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows,10,2.2kg,1299.0,Intel,Nvidia,1920,1080,2.8
109,Lenovo,Thinkpad T470,Notebook,14.0,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,1.58kg,1480.0,Intel,Intel,1920,1080,2.7
110,Asus,VivoBook S15,Ultrabook,15.6,Intel Core i7 8550U 1.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce MX150,Windows,10,1.5kg,1262.0,Intel,Nvidia,1920,1080,1.8
111,Dell,XPS 13,Ultrabook,13.3,Intel Core i7 7560U 2.4GHz,8,256GB SSD,Intel Iris Plus Graphics 640,Windows,10,1.23kg,1379.0,Intel,Intel,3200,1800,2.4
112,Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,1.37kg,1399.0,Intel,Intel,1920,1080,2.5
113,HP,Probook 440,Notebook,14.0,Intel Core i5 8250U 1.6GHz,4,500GB HDD,Intel UHD Graphics 620,Windows,10,1.63kg,722.0,Intel,Intel,1366,768,1.6
114,Dell,XPS 13,Ultrabook,13.3,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows,10,1.21kg,1629.0,Intel,Intel,1920,1080,1.6
115,HP,Spectre x360,2 in 1 Convertible,13.3,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows,10,1.26kg,1398.99,Intel,Intel,1920,1080,1.6
116,HP,Probook 440,Notebook,14.0,Intel Core i7 8550U 1.8GHz,8,512GB SSD,Intel UHD Graphics 620,Windows,10,1.63kg,1084.0,Intel,Intel,1920,1080,1.8
117,Dell,Inspiron 7570,Notebook,15.6,Intel Core i7 8550U 1.8GHz,8,256GB SSD +  1TB HDD,Nvidia GeForce 940MX,Windows,10,2.16kg,1130.33,Intel,Nvidia,1920,1080,1.8
118,Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,17.3,Intel Core i3 6006U 2GHz,4,1TB HDD,Nvidia GeForce 920MX,Windows,10,2kg,564.0,Intel,Nvidia,1920,1080,2.0
119,Asus,VivoBook S15,Notebook,15.6,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Nvidia GeForce 940MX,Windows,10,1.7kg,1118.0,Intel,Nvidia,1920,1080,1.8
120,Acer,Spin 3,Notebook,15.6,Intel Core i3 7100U 2.4GHz,6,1TB HDD,Intel HD Graphics 620,Windows,10,2.1kg,479.0,Intel,Intel,1920,1080,2.4
121,MSI,GS63VR 7RG,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1070,Windows,10,1.8kg,2241.5,Intel,Nvidia,1920,1080,2.8
122,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Nvidia GeForce 940MX,No OS,,2.2kg,629.0,Intel,Nvidia,1920,1080,2.5
123,HP,Probook 470,Notebook,17.3,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Nvidia GeForce 930MX ,Windows,10,2.5kg,1271.0,Intel,Nvidia,1920,1080,1.8
124,Acer,Aspire 3,Notebook,15.6,AMD A9-Series 9420 3GHz,4,256GB SSD,AMD Radeon R5,Windows,10,2.1kg,451.0,AMD,AMD,1366,768,3.0
125,HP,250 G6,Notebook,15.6,Intel Celeron Dual Core N3060 1.6GHz,4,500GB HDD,Intel HD Graphics 400,No OS,,1.86kg,259.0,Intel,Intel,1366,768,1.6
126,HP,Probook 440,Notebook,14.0,Intel Core i5 8250U 1.6GHz,8,1TB HDD,Intel UHD Graphics 620,Windows,10,1.63kg,812.0,Intel,Intel,1920,1080,1.6
127,Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,Notebook,14.0,AMD E-Series 6110 1.5GHz,4,64GB SSD,AMD Radeon R2,Windows,10 S,1.65kg,277.99,AMD,AMD,1366,768,1.5
128,Dell,Inspiron 5770,Notebook,17.3,Intel Core i7 8550U 1.8GHz,16,256GB SSD +  2TB HDD,AMD Radeon 530,Windows,10,2.8kg,1396.0,Intel,AMD,1920,1080,1.8
129,HP,ProBook 470,Notebook,17.3,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows,10,2.5kg,928.0,Intel,Intel,1920,1080,1.6
130,Dell,Inspiron 5567,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8,1TB HDD,AMD Radeon R7 M445,Windows,10,2.36kg,638.99,Intel,AMD,1366,768,2.5
131,Dell,Inspiron 3567,Notebook,15.6,Intel Core i3 6006U 2GHz,4,1TB HDD,AMD Radeon R5 M430,Windows,10,2.2kg,449.0,Intel,AMD,1920,1080,2.0
